N,P,K,temperature,humidity,ph,rainfall,label,NPK_total,N_P_ratio,N_K_ratio,P_K_ratio,moisture_index,ph_level,rainfall_level,season,fertilizer,label_encoded
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,175,2.1428570918367362,2.0930232071389954,0.9767441633315311,1712.1962830390814,neutral,high,Spring/Autumn,NPK 20:10:10 + Urea,20
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,184,1.4655172161117722,2.073170681142179,1.4146341118381924,1748.5957343980754,neutral,high,Spring/Autumn,NPK 20:10:10 + Urea,20
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,159,1.0909090710743805,1.3636363326446288,1.2499999715909098,1893.7446273298856,alkaline,high,Spring/Autumn,NPK 20:10:10 + Urea,20
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,149,2.1142856538775527,1.8499999537500014,0.8749999781250006,2123.4829079544807,neutral,high,Summer,NPK 20:10:10 + Urea,20
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,162,1.8571428129251712,1.8571428129251712,0.9999999761904769,1642.720357036975,alkaline,high,Spring/Autumn,NPK 20:10:10 + Urea,20
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,148,1.8648648144631133,1.6428571037414976,0.8809523599773248,1922.352236179895,neutral,high,Spring/Autumn,NPK 20:10:10 + Urea,20
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,162,1.2545454317355376,1.8157894259002785,1.44736838296399,1876.6450619256132,slightly_acidic,high,Spring/Autumn,NPK 20:10:10 + Urea,20
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,187,1.773584872196512,2.3499999412500014,1.324999966875001,1680.9050273750024,slightly_acidic,high,Spring/Autumn,NPK 20:10:10 + Urea,20
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,181,1.6481481176268868,2.3421052015235473,1.4210525941828265,2047.9393937180864,neutral,high,Spring/Autumn,NPK 20:10:10 + Urea,20
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,164,1.1724137728894177,1.789473637119115,1.5263157493074804,1928.3614912692885,slightly_acidic,high,Spring/Autumn,NPK 20:10:10 + Urea,20
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,184,1.716981099679602,2.2749999431250014,1.324999966875001,2159.782186434238,acidic,high,Summer,NPK 20:10:10 + Urea,20
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,178,1.9565216965973544,2.1428570918367362,1.0952380691609984,1953.1028678403572,alkaline,high,Spring/Autumn,NPK 20:10:10 + Urea,20
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,180,1.3448275630202144,1.7727272324380174,1.3181817882231412,2167.831921462657,acidic,high,Summer,NPK 20:10:10 + Urea,20
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,185,1.660714256058674,2.5833332615740763,1.5555555123456803,1970.5938254448881,neutral,high,Spring/Autumn,NPK 20:10:10 + Urea,20
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,181,1.8799999624000008,2.540540471877285,1.351351314828343,2070.306451433026,neutral,high,Summer,NPK 20:10:10 + Urea,20
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,147,1.2499999739583338,1.538461499013808,1.2307691992110463,1949.8583733044302,neutral,high,Spring/Autumn,NPK 20:10:10 + Urea,20
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,164,2.236842046398894,2.073170681142179,0.9268292456870916,1787.1623104460289,slightly_acidic,high,Spring/Autumn,NPK 20:10:10 + Urea,20
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,165,2.599999925714288,2.3333332735042753,0.8974358744247213,1913.4636966543974,neutral,high,Spring/Autumn,NPK 20:10:10 + Urea,20
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,rice,151,2.026315736149586,2.1388888294753103,1.0555555262345688,1753.4248975287219,slightly_acidic,high,Spring/Autumn,NPK 20:10:10 + Urea,20
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,163,2.5142856424489817,2.1999999450000014,0.8749999781250006,1970.9485608373948,slightly_acidic,high,Spring/Autumn,NPK 20:10:10 + Urea,20
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,170,1.9777777338271616,2.4722221535493847,1.249999965277779,1716.1276875876856,slightly_acidic,high,Spring/Autumn,NPK 20:10:10 + Urea,20
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,159,1.8999999525000013,1.7674418193618182,0.9302325365062202,2091.0156032199475,acidic,high,Summer,NPK 20:10:10 + Urea,20
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,167,1.1355932010916407,1.634146301606188,1.4390243551457476,1777.1869471700752,slightly_acidic,high,Spring/Autumn,NPK 20:10:10 + Urea,20
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,167,2.0243901945270686,1.9302325132504068,0.9534883499188757,1740.5898493994537,slightly_acidic,high,Spring/Autumn,NPK 20:10:10 + Urea,20
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,182,2.085106338614759,2.648648577063552,1.2702702359386424,1910.0007963239996,neutral,high,Spring/Autumn,NPK 20:10:10 + Urea,20
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,160,1.245282995372019,1.6097560582986328,1.2926828953004172,2019.1877437416465,alkaline,high,Summer,NPK 20:10:10 + Urea,20
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice,199,1.6440677687446141,2.255813901027584,1.3720929913466746,2215.3395675442175,slightly_acidic,high,Summer,NPK 20:10:10 + Urea,20
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,188,1.939999961200001,2.365853600832839,1.219512165377752,1975.7062241152603,neutral,high,Spring/Autumn,NPK 20:10:10 + Urea,20
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,153,1.2244897709287803,1.3636363326446288,1.113636338326447,1755.504973473851,slightly_acidic,high,Spring/Autumn,NPK 20:10:10 + Urea,20
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,170,1.6470587912341415,2.3999999314285736,1.4571428155102053,1798.4918276070994,slightly_acidic,high,Spring/Autumn,NPK 20:10:10 + Urea,20
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,171,1.2807017319175136,1.7804877614515182,1.3902438685306375,1821.7497027643356,slightly_acidic,high,Spring/Autumn,NPK 20:10:10 + Urea,20
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice,167,2.62857135346939,2.2999999425000017,0.8749999781250006,1781.6929028252587,slightly_acidic,high,Spring/Autumn,NPK 20:10:10 + Urea,20
85,37,39,24.52783742,82.73685569,6.364134967999999,224.67572310000003,rice,161,2.297297235208183,2.1794871236028945,0.9487179243918481,2029.3561450063219,slightly_acidic,high,Spring/Autumn,NPK 20:10:10 + Urea,20
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,189,1.8490565688857252,2.5789473005540184,1.3947368054016631,1654.582853088092,acidic,high,Spring/Autumn,NPK 20:10:10 + Urea,20
